replicate,task_id,repository,call_seq,query,n_notes_parsed,query_question_overlap,n_cross_repo,n_same_repo,n_origin_unknown,cross_repo_frac
pilot30-shuffle2,task-6905333b74f22949d97ba9d8,paperless-ngx/paperless-ngx,1,document classification machine learning pipeline OCR barcode splitting,5,0.08974358974358974,0,3,2,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,1,paperless-ngx background processing async queue tasks,5,0.07575757575757576,0,4,1,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9d9,paperless-ngx/paperless-ngx,2,django-q tasks group uuid task_id queue status,5,0.014084507042253521,0,2,3,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,1,Paperless-NGX file move rename tags duplicate checksum,4,0.046153846153846156,0,4,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9db,paperless-ngx/paperless-ngx,2,Paperless-NGX runtime log messages file move rename checksum classifier sanity orphaned,5,0.061068702290076333,0,3,2,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,1,paperless-ngx document upload OCR processing,5,0.05333333333333334,0,4,1,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9dc,paperless-ngx/paperless-ngx,2,OCR processing log patterns upload response status,5,0.06666666666666667,0,3,2,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9dd,paperless-ngx/paperless-ngx,1,Paperless-NGX document ingestion processing workflow,0,0.05434782608695652,0,0,0,
pilot30-shuffle2,task-6905333b74f22949d97ba9de,paperless-ngx/paperless-ngx,1,Paperless memory usage metadata processing,5,0.043859649122807015,0,4,1,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9de,paperless-ngx/paperless-ngx,2,paperless-ngx memory spike content field bulk update,3,0.025423728813559324,0,3,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,1,documents list pagination duplicates sorting API,5,0.04395604395604396,0,3,2,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9e0,paperless-ngx/paperless-ngx,2,document list pagination duplicates unstable ordering distinct tag filter,5,0.06521739130434782,0,3,2,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9e8,simple-login/app,1,SimpleLogin authentication API sessions email forwarding,5,0.026845637583892617,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97ba9e8,simple-login/app,2,SimpleLogin API auth session cookie Reply-To headers session storage pickle,5,0.033112582781456956,0,3,2,0.0
pilot30-shuffle2,task-6905333b74f22949d97baa1d,simple-login/app,1,SimpleLogin session handling Redis deserialization,5,0.07352941176470588,0,5,0,0.0
pilot30-shuffle2,task-6905333b74f22949d97baa1d,simple-login/app,2,SimpleLogin session handling deserialization pickle redis corruption,5,0.07142857142857142,0,5,0,0.0
